brokered_by;status;price;bed;bath;acre_lot;street;city;state;zip_code;house_size;prev_sold_date
81824;sold;292677;5;3;0.29;63 Field Dr;Sumter;South Carolina;29154;3040;2021-12-22
53138;sold;479000;3;3;0.22;47 Lincoln Rd;Bowie;Maryland;20720;2375;2022-01-04
7846;for_sale;279000;4;3;0.08;97 Meadow Ave;Somerse;Kentuky;52503;1921;2015-7-1
54093;for_sale;265000;1;1;0.03;896 Sunset Ct;Marathon;Florida;33050;321;2004-09-20
68269;sold;389854;3;2;0.15;144 Terrace Blvd;Caldwell;Idaho;83605;1574;2021-12-17
59082;sold;249900;3;2;0.41;672 West Pl;Stuarts Draft;Virginia;24477;1827;2022-02-14
10437;sold;350000;3;2;1.07;70 Cedar Dr;Cumming;Georgia;30041;1681;2022-02-23
10724;for_sale;425500;2;1;0.82;227 Square Rd;Brester;Massachusets;2632;1365;2001-7-5
553137;sold;485000;5;5;0.23;47 Lincoln;Bowi;Mariland;20721;2376;2022-1-14
78460;for_sale;278900;3;2;0.7;95 Meadow Ave;Somerset;Kentucky;42503;1923;2016-07-01
65293;for_sale;725000;3;3;1.04;715 Terrace Dr;Sparks;Nevada;89441;1876;2004-09-10
84529;for_sale;1075000;3;3;0.06;162 Mill St;Tustin;California;92782;1928;2011-11-14
105798;for_sale;155990;4;3;0.21;195 Spring Ave;Albany;Indiana;47320;2009;2020-06-19
78247;sold;339900;3;2;0.28;676 South Blvd;Troy;Illinois;62294;1613;2022-01-26
54093;for_sale;265000;1;1;0.03;896 Sunset Ct;Marathon;Florida;33050;321;2004-09-20
10487;for_sale;890000;3;3;0.2;211 Church Ln;Huston;Texass;77083;4157;2012-9-26
57424;for_sale;999000;3;2;0.15;277 Princess Dr;Livermore;California;94550;1785;2022-04-22
65393;for_sale;730000;4;4;1.05;715 Terrace;Spark;Navada;89442;1875;2005-9-10
86329;for_sale;699000;4;5;14.25;347 Oak Ln;Wetumpka;Alabama;36092;4758;2015-02-19
34889;sold;389500;2;1;0.21;384 Market St;Hoston;texas;77026;1695;2021-12-15
81316;sold;749000;4;2;0.27;285 Center Ln;Fairfax;Virginia;22030;2948;2021-12-10
82979;for_sale;336000;2;1;0.17;72 Hill Ln;Tenple;Texaa;76500;2340;2013-5-2
22792;sold;525000;3;2;0.59;977 Adams Blvd;Westford;Massachusetts;1886;2211;2021-11-19
20385;for_sale;599500;5;3;0.37;217 Church Ln;Calabash;North Carolina;28467;3058;2020-03-24
81112;for_sale;115900;4;1;0.15;380 Valley Ln;Fairborn;Ohio;45324;1116;2020-08-03
32769;for_sale;1300000;2;3;27.59;550 Second Pl;Julian;California;92036;986;2020-05-15
104876;sold;398000;3;2;0.11;981 Harbor Ave;Chicago;Illinois;60659;1171;2021-11-30
2765;sold;585000;3;3;4.44;699 Wilson Dr;Crossville;Tennessee;38555;3352;2022-04-15
23018;sold;24000;4;3;0.22;922 Square;Mose Lake;Washingtom;98887;1671;2022-3-8
96817;sold;425000;4;3;0.06;33 Pine Ave;Alexandria;Virginia;22309;2075;2022-02-04
82988;for_sale;335500;4;3;0.19;71 Hill;Teple;Texass;76503;2345;2012-5-1
81316;sold;749000;4;2;0.27;285 Center Ln;Fairfax;Virginia;22030;2948;2021-12-10
78139;for_sale;425000;1;1;0.58;949 Franklin Blvd;Palisade;Colorado;81526;987;2006-07-06
54093;for_sale;265000;1;1;0.03;896 Sunset Ct;Marathon;Florida;33050;321;2004-09-20
79345;for_sale;599000;5;4;0.41;255 Princess Ave;Bettendorfs;iowa;5272;3770;2015-11-21
